20220423,"2022-04-23",2022,4,"Apr",23,"Sat",6,16,true,false,false
20220424,"2022-04-24",2022,4,"Apr",24,"Sun",0,16,true,false,false
20220425,"2022-04-25",2022,4,"Apr",25,"Mon",1,17,false,true,false
20220426,"2022-04-26",2022,4,"Apr",26,"Tue",2,17,true,false,false
20220427,"2022-04-27",2022,4,"Apr",27,"Wed",3,17,true,false,false
20220428,"2022-04-28",2022,4,"Apr",28,"Thu",4,17,true,false,false
20220429,"2022-04-29",2022,4,"Apr",29,"Fri",5,17,true,false,false
20220430,"2022-04-30",2022,4,"Apr",30,"Sat",6,17,true,false,false
20220501,"2022-05-01",2022,5,"May",1,"Sun",0,17,true,false,false
20220502,"2022-05-02",2022,5,"May",2,"Mon",1,18,false,true,false
20220503,"2022-05-03",2022,5,"May",3,"Tue",2,18,true,false,false
20220504,"2022-05-04",2022,5,"May",4,"Wed",3,18,true,false,false
20220505,"2022-05-05",2022,5,"May",5,"Thu",4,18,true,false,false
20220506,"2022-05-06",2022,5,"May",6,"Fri",5,18,true,false,false
20220507,"2022-05-07",2022,5,"May",7,"Sat",6,18,true,false,false
20220508,"2022-05-08",2022,5,"May",8,"Sun",0,18,true,false,false
20220509,"2022-05-09",2022,5,"May",9,"Mon",1,19,false,true,false
20220510,"2022-05-10",2022,5,"May",10,"Tue",2,19,true,false,false
20220511,"2022-05-11",2022,5,"May",11,"Wed",3,19,true,false,false
20220512,"2022-05-12",2022,5,"May",12,"Thu",4,19,true,false,false
20220513,"2022-05-13",2022,5,"May",13,"Fri",5,19,true,false,false
20220514,"2022-05-14",2022,5,"May",14,"Sat",6,19,true,false,false
20220515,"2022-05-15",2022,5,"May",15,"Sun",0,19,true,false,false
20220516,"2022-05-16",2022,5,"May",16,"Mon",1,20,false,true,false
20220517,"2022-05-17",2022,5,"May",17,"Tue",2,20,true,false,false
20220518,"2022-05-18",2022,5,"May",18,"Wed",3,20,true,false,false
